GPO,IDN,FA #,FA Name,Franchise,Product Line,Manufacturer,Item #,Item Description,Month,Quarter,Year,Usage,Collected,Accepted,DNR,Available,Purchased,Cancelled
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Ligasures,Covidien,LF1637,LigaSure Blunt Tip,September,Q3,2018,0,1,0,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Ligasures,Covidien,LF1737,LigaSure Maryland Jaw,September,Q3,2018,0,3,0,0,12,6,6
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A1-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,5,5,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A2-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,19,19,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A2-2A-L,Soft Blood Pressure Cuff,September,Q3,2018,0,101,101,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A3-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,6,6,6,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Compression Device - Pairs,Huntleigh Health Care,FG 100 (2),Foot Garment - One Pair,September,Q3,2018,0,12,10,0,20,0,20
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Compression Device - Pairs,Huntleigh Health Care,FG 200 (2),Foot Garment - One Pair,September,Q3,2018,0,10.5,7.5,0,20,-10,30
HPG,RCCH HealthCare Partners,196638,Community Medical Center,NON,Pulse Oximeters,Masimo Corporation,1859,Adult O2 Transducer,September,Q3,2018,0,3,3,3,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Arthroscopic Shavers / Burs,Stryker,375-545-000,Formula Tomcat Cutter,September,Q3,2018,0,2,0,0,10,10,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Arthroscopic Shavers / Burs,Stryker,375-564-000,Formula Aggressive Plus Cutter,September,Q3,2018,0,2,1,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Arthroscopic Shavers / Burs,Stryker,375-951-000,Formula Aggressive Barrel Bur,September,Q3,2018,0,2,0,0,10,5,5
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Burrs / Bits / Blades,Stryker,2108-110,Sagittal Saw Blade,September,Q3,2018,0,1,0,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Burrs / Bits / Blades,Stryker,2108-115,Sagittal Saw Blade,September,Q3,2018,0,1,0,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,B12LT,Xcel Bladeless Trocar,September,Q3,2018,0,9,7,0,12,0,12
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,B5LT,Xcel Bladeless Trocar,September,Q3,2018,0,17,14,0,24,0,24
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,CB5LT,Xcel Trocar Sleeve,September,Q3,2018,0,26,20,0,24,12,12
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,H12LP,Xcel Blunt Tip Trocar,September,Q3,2018,0,0,0,0,6,0,6
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Scissor Tips,Snowden-Pencer,89-5100,Switch Blade Curved,September,Q3,2018,0,0,0,0,10,10,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Tourniquet Cuffs,Stryker,5921-024-235,Color Cuff,September,Q3,2018,0,1,1,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Tourniquet Cuffs,Stryker,5921-034-235,Color Cuff,September,Q3,2018,0,19,13,0,10,20,-10
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Tourniquet Cuffs,Stryker,5921-044-235,Color Cuff,September,Q3,2018,0,0,0,0,10,0,10
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Tourniquet Cuffs,Stryker,5921-218-235,Color Cuff,September,Q3,2018,0,4,3,0,20,10,10
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HAR9F,HARMONIC FOCUS Shears,September,Q3,2018,0,1,0,0,0,0,0
HPG,RCCH HealthCare Partners,196638,Community Medical Center,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HARH36,Harmonic ACE +7 Shears,September,Q3,2018,0,2,0,0,12,0,12
Vizient,0,189511,Kalispell Regional Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A1-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,17,17,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A2-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,180,180,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A2-2A-L,Soft Blood Pressure Cuff,September,Q3,2018,0,85,85,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A3-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,4,4,4,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-P1-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,6,6,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,NON,Blood Pressure Cuffs,GE Healthcare,SFT-P2-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,9,9,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,NON,Compression Device - Pairs,Aircast Incorporated,3042,Venaflow Elite XL Calf Cuff,September,Q3,2018,0,2,2,0,20,0,20
Vizient,0,189511,Kalispell Regional Medical Center,NON,Compression Device - Pairs,Aircast Incorporated,3050,Venaflow Elite Foam Calf Cuff,September,Q3,2018,0,63,63,0,120,0,120
Vizient,0,189511,Kalispell Regional Medical Center,NON,Pulse Oximeters,Masimo Corporation,2329,Adult O2 Transducer,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,SUR,Arthroscopic Shavers / Burs,Stryker,375-544-000,Formula Aggressive Plus Cutter,September,Q3,2018,0,1,1,0,5,0,5
Vizient,0,189511,Kalispell Regional Medical Center,SUR,Arthroscopic Shavers / Burs,Stryker,375-545-000,Formula Tomcat Cutter,September,Q3,2018,0,1,1,0,5,0,5
Vizient,0,189511,Kalispell Regional Medical Center,SUR,Burrs / Bits / Blades,Synthes,310.37,Drill Bit QC,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,189511,Kalispell Regional Medical Center,SUR,Ligasures,Covidien,LF1723,LigaSure Maryland Jaw,September,Q3,2018,0,0,0,0,6,0,6
Vizient,0,189511,Kalispell Regional Medical Center,SUR,Ligasures,Covidien,LF4418,LigaSure Impact without,September,Q3,2018,0,0,0,0,6,0,6
Vizient,0,189511,Kalispell Regional Medical Center,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HAR9F,HARMONIC FOCUS Shears,September,Q3,2018,0,0,0,0,6,0,6
Vizient,0,196341,Marcus Daly Memorial Hospital,NON,Compression Accessories Restep,Stryker Sustainability Solutions - Tempe,PUMPKIT,Restep Pump Kit,September,Q3,2018,0,0,0,0,0,7,-7
Vizient,0,196341,Marcus Daly Memorial Hospital,NON,Compression Accessories Restep,Stryker Sustainability Solutions - Tempe,RSP166,Restep Bed Bracket,September,Q3,2018,0,0,0,0,0,7,-7
Vizient,0,196341,Marcus Daly Memorial Hospital,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RBG60,Bariatric Garment (1 Pair),September,Q3,2018,0,7,5,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RCG10,Restep Calf Garment (1 Pair),September,Q3,2018,0,88,75,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RTG30,Restep Thigh Garment (1 Pair),September,Q3,2018,0,14,14,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-I,Infant Pulse Oximeter Sensor,September,Q3,2018,0,0,0,0,24,0,24
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Laparoscopic,Ethicon Endo-Surgery Inc.,5BB,Endopath Babcock,September,Q3,2018,0,14,13,0,24,12,12
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Laparoscopic,Ethicon Endo-Surgery Inc.,5DCS,Endopath Curved Scissors,September,Q3,2018,0,8,1,0,6,12,-6
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Tourniquet Cuffs,Stryker,5921-024-135,Color Cuff,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Tourniquet Cuffs,Stryker,5921-030-135,Color Cuff,September,Q3,2018,0,3,3,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Tourniquet Cuffs,Stryker,5921-034-135,Color Cuff,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Tourniquet Cuffs,Stryker,5921-044-135,Color Cuff,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Tourniquet Cuffs,Stryker,5921-218-135,Color Cuff,September,Q3,2018,0,12,8,0,0,10,-10
Vizient,0,196341,Marcus Daly Memorial Hospital,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HARH36,Harmonic ACE +7 Shears,September,Q3,2018,0,5,0,0,12,6,6
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Compression Device - Pairs,Kendall,9529,SCD Express Compression Sleeve,September,Q3,2018,0,0,0,0,0,90,-90
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Masimo Corporation,1859,Adult O2 Transducer,September,Q3,2018,0,0,0,0,0,100,-100
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-A,Adult Pulse Oximeter Sensor,September,Q3,2018,0,0,0,0,0,96,-96
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-I,Infant Pulse Oximeter Sensor,September,Q3,2018,0,0,0,0,0,24,-24
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-N,Neonatal Pulse Oximeter,September,Q3,2018,0,0,0,0,0,24,-24
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-P,Pediatric Pulse Oximeter,September,Q3,2018,0,0,0,0,0,72,-72
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-156,Tourniquet Cuff with Sleeve,September,Q3,2018,0,0,0,0,0,10,-10
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A1-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A2-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,43,43,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,GE Healthcare,SFT-A3-2A,Soft Blood Pressure Cuff,September,Q3,2018,0,25,25,0,60,0,60
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-08-1HP,Flexiport 1-Tube Bayonet Cuff,September,Q3,2018,0,12,12,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-09-1HP,Flexiport 1-Tube Bayonet Cuff,September,Q3,2018,0,15,15,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-10,Flexiport Raw Cuff,September,Q3,2018,0,5,5,0,20,0,20
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-10-1HP,Flexiport 1-Tube Bayonet Cuff,September,Q3,2018,0,103,103,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-11,Flexiport Raw Cuff,September,Q3,2018,0,73,73,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-11-1HP,Flexiport 1-Tube Bayonet Cuff,September,Q3,2018,0,425,425,0,960,0,960
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-11L,Flexiport Raw Cuff,September,Q3,2018,0,64,64,0,160,0,160
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-11L-1HP,Flexiport 1-Tube Bayonet Cuff,September,Q3,2018,0,302,302,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Blood Pressure Cuffs,Welch Allyn,SOFT-12-1HP,Flexiport 1-Tube Bayonet Cuff,September,Q3,2018,0,2,2,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Compression Device - Pairs,Huntleigh Health Care,L501-M,Flowtron DVT Calf Garment,September,Q3,2018,0,5.5,4.5,0,20,0,20
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Compression Device - Pairs,Kendall,9529,SCD Express Compression Sleeve,September,Q3,2018,0,392,386,0,730,0,730
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Compression Device - Pairs,Kendall,9789,SCD Express Compression Sleeve,September,Q3,2018,0,13.5,12,0,30,0,30
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Masimo Corporation,1859,Adult O2 Transducer,September,Q3,2018,0,167,156,0,140,0,140
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Masimo Corporation,1860,Pediatric O2 Transducer,September,Q3,2018,0,14,14,0,80,0,80
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Masimo Corporation,2329,Adult O2 Transducer,September,Q3,2018,0,20,19,0,20,0,20
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-A,Adult Pulse Oximeter Sensor,September,Q3,2018,0,211,202,0,216,0,216
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-I,Infant Pulse Oximeter Sensor,September,Q3,2018,0,60,57,0,96,0,96
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-N,Neonatal Pulse Oximeter,September,Q3,2018,0,66,62,0,96,0,96
Vizient,0,197536,Bozeman Deaconess Hospital,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-P,Pediatric Pulse Oximeter,September,Q3,2018,0,170,168,0,120,0,120
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Burrs / Bits / Blades,Stryker,1806-4280S,Drill Bit,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Endoscopic Trocars,Covidien,VS101005-NS,Versastep Cannula and Dilator,September,Q3,2018,0,15,15,15,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Laparoscopic,Auto SutureCo.,176643,Endo Shears,September,Q3,2018,0,6,6,0,24,0,24
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Ligasures,Covidien,LF4418,LigaSure Impact without,September,Q3,2018,0,9,9,0,30,0,30
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-103,Tourniquet Cuff,September,Q3,2018,0,5,3,3,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-104,Tourniquet Cuff,September,Q3,2018,0,1,0,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-106,Tourniquet Cuff,September,Q3,2018,0,6,5,5,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-107,Tourniquet Cuff,September,Q3,2018,0,2,1,0,20,0,20
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-152,Tourniquet Cuff with Sleeve,September,Q3,2018,0,1,1,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-153,Tourniquet Cuff with Sleeve,September,Q3,2018,0,7,7,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-154,Tourniquet Cuff with Sleeve,September,Q3,2018,0,4,4,0,0,0,0
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-156,Tourniquet Cuff with Sleeve,September,Q3,2018,0,19,17,0,20,0,20
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Tourniquet Cuffs,Zimmer,60-7070-157,Tourniquet Cuff with Sleeve,September,Q3,2018,0,9,9,0,10,0,10
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HAR9F,HARMONIC FOCUS Shears,September,Q3,2018,0,1,1,0,6,0,6
Vizient,0,197536,Bozeman Deaconess Hospital,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HARH36,Harmonic ACE +7 Shears,September,Q3,2018,0,0,0,0,6,0,6
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,HoverMatt,HoverTech International,HM34SPU-B,HoverMatt,September,Q3,2018,0,10,10,0,0,10,-10
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,HoverMatt,HoverTech International,HM39SPU-B,HoverMatt,September,Q3,2018,0,4,4,0,10,10,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,Pulse Oximeters,Masimo Corporation,1859,Adult O2 Transducer,September,Q3,2018,0,300,271,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,Pulse Oximeters,Masimo Corporation,1860,Pediatric O2 Transducer,September,Q3,2018,0,21,21,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,Pulse Oximeters,Masimo Corporation,1861,Infant O2 Transducer,September,Q3,2018,0,4,4,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,Pulse Oximeters,Masimo Corporation,1862,Adult O2 Transducer,September,Q3,2018,0,3,2,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,Pulse Oximeters,Masimo Corporation,2320,Adult O2 Transducer,September,Q3,2018,0,24,22,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,NON,Pulse Oximeters,Masimo Corporation,2328,Infant O2 Transducer,September,Q3,2018,0,175,167,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Burrs / Bits / Blades,Synthes,310.431,Drill Bit QC,September,Q3,2018,0,1,1,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Endoscopic Trocars,Covidien,VS101005-NS,Versastep Cannula and Dilator,September,Q3,2018,0,52,52,52,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Ligasures,Covidien,LF4418,LigaSure Impact without,September,Q3,2018,0,1,1,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Tourniquet Cuffs,Stryker,5921-024-235,Color Cuff,September,Q3,2018,0,6,2,0,10,10,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Tourniquet Cuffs,Stryker,5921-030-235,Color Cuff,September,Q3,2018,0,7,2,0,10,20,-10
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Tourniquet Cuffs,Stryker,5921-034-235,Color Cuff,September,Q3,2018,0,14,9,0,10,20,-10
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Tourniquet Cuffs,Stryker,5921-044-235,Color Cuff,September,Q3,2018,0,1,1,0,20,0,20
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Tourniquet Cuffs,Stryker,5921-218-235,Color Cuff,September,Q3,2018,0,15,7,0,20,20,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HAR9F,HARMONIC FOCUS Shears,September,Q3,2018,0,2,2,0,6,0,6
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,CB3412CT,Reuseable Carto 3 Cable,September,Q3,2018,0,13,12,0,28,19,9
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,CB3434CT,Reuseable Carto 3 Cable,September,Q3,2018,0,1,1,0,0,0,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,CR3425CT,Reusable Carto Ablation Cable,September,Q3,2018,0,6,6,0,2,2,0
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,CR3434CT,Reusable Carto Ablation Cable,September,Q3,2018,0,7,7,0,6,8,-2
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,CY1212CT,Reuseable Carto 3 Cable,September,Q3,2018,0,5,5,0,12,8,4
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,D134401,BW CARTO 3 System eco,September,Q3,2018,0,2,2,0,3,2,1
Vizient,Benefis Healthcare,197876,Benefis Healthcare East Camp,VAS,EP Catheters & Cables,Biosense Webster,D135304,CS Uni-Directional w Auto ID,September,Q3,2018,0,7,5,0,18,9,9
